team,venue,venue_temp,home_temp,temp_disadvantage,altitude_disadvantage,humidity_factor,climate_net_advantage
Mexico,Guadalajara,24,26,-2,0.5481,0.52,0.1522220840586919
South Korea,Mexico City,19,24,-5,2.24,0.44,0.2710034817209649
South Africa,Guadalajara,24,16,8,1.566,0.52,-0.5615920583602753
Czechia,Mexico City,19,22,-3,2.24,0.44,0.13836649258061845
Canada,Toronto,22,18,4,0.076,0.64,-0.5952748072618751
Switzerland,Vancouver,18,20,-2,0.07,0.71,-0.20054712758020388
Qatar,Toronto,22,40,-18,0.076,0.64,0.8637320732819365
Bosnia-Herzegovina,Vancouver,18,22,-4,0.07,0.71,-0.06791013843985737
Brazil,Dallas,35,22,13,0.139,0.58,-0.16390615933018318
Morocco,Houston,33,26,7,0.015,0.78,0.23022465390035643
Haiti,Dallas,35,30,5,0.139,0.58,0.3666417972312029
Scotland,Houston,33,16,17,0.015,0.78,-0.4329602918013762
United States,Los Angeles,24,25,-1,0.071,0.68,-0.08153029926220677
Paraguay,San Francisco,16,22,-6,0.016,0.79,0.2473265356876399
Australia,Los Angeles,24,14,10,0.071,0.68,-0.8110337395341125
Turkey,San Francisco,16,28,-12,0.016,0.79,0.6452375031086794
Germany,Atlanta,29,22,7,0.32,0.71,-0.20489057448395925
Curacao,Miami,31,30,1,0.002,0.79,0.20485824421785628
Ivory Coast,Atlanta,29,32,-3,0.32,0.71,0.45829437121777333
Ecuador,Miami,31,20,11,0.0007,0.79,-0.45826204095167045
Netherlands,New York,25,20,5,0.01,0.62,-0.16549780319986734
Japan,Philadelphia,27,26,1,0.012,0.63,0.09917930862969411
Sweden,New York,25,20,5,0.01,0.62,-0.16549780319986734
Tunisia,Philadelphia,27,28,-1,0.012,0.63,0.23181629777004062
Belgium,Kansas City,27,19,8,0.273,0.65,-0.6684075271491338
Egypt,Seattle,18,35,-17,0.053,0.66,1.0
Iran,Kansas City,27,32,-5,0.273,0.65,0.1937329022631186
New Zealand,Seattle,18,12,6,0.053,0.66,-0.5253253751139849
Spain,Dallas,35,28,7,0.139,0.58,0.01846970073779328
Cape Verde,Houston,33,27,6,0.015,0.78,0.08100804111746662
Saudi Arabia,Dallas,35,38,-3,0.139,0.58,0.6816546464395259
Uruguay,Houston,33,14,19,0.015,0.78,-0.7811323882947857
France,Los Angeles,24,35,-11,0.071,0.68,-0.03179142833457678
Senegal,San Francisco,16,33,-17,0.016,0.79,0.36338390118544306
Iraq,Los Angeles,24,42,-18,0.071,0.68,0.43243803365663597
Norway,San Francisco,16,16,0,0.016,0.79,-0.7640305065075023
Argentina,Miami,31,16,15,0.002,0.79,-0.6904252673464313
Algeria,Atlanta,29,30,-1,0.32,0.71,0.358832794495565
Austria,Miami,31,22,9,0.002,0.79,-0.2925142999253917
Jordan,Atlanta,29,34,-5,0.32,0.71,0.6241067727762579
Portugal,Boston,22,26,-4,0.009,0.65,0.16499419713172508
DR Congo,New York,25,28,-3,0.01,0.62,0.10011812981845315
Uzbekistan,Boston,22,28,-6,0.009,0.65,0.2976311862720717
Colombia,New York,25,18,7,0.0034999999999999996,0.62,-0.5627435132222499
England,Seattle,18,18,0,0.053,0.66,-0.5620409516703971
Croatia,Vancouver,18,28,-10,0.07,0.71,0.09781148967918428
Ghana,Seattle,18,30,-12,0.053,0.66,0.233780983171682
Panama,Vancouver,18,30,-12,0.07,0.71,0.2304484788195309
