team,elo,matches_played
Argentina,1965.77,1067
Spain,1962.94,784
France,1959.55,936
England,1895.87,1091
Brazil,1888.72,1060
Portugal,1884.75,696
Netherlands,1884.56,880
Germany,1872.78,1032
Japan,1869.56,792
Colombia,1868.23,639
Morocco,1862.94,617
Croatia,1851.29,397
Belgium,1839.22,854
Ecuador,1837.83,592
Uruguay,1824.82,971
Senegal,1820.19,639
Turkey,1812.21,643
Mexico,1807.31,1003
Australia,1801.01,582
Iran,1798.51,613
South Korea,1795.19,1008
Norway,1793.49,873
United States,1791.85,791
Austria,1791.12,862
Algeria,1790.1,618
Switzerland,1786.38,885
Paraguay,1777.55,785
Uzbekistan,1764.97,355
Canada,1758.36,470
Egypt,1739.56,757
Sweden,1737.03,1102
Scotland,1731.7,852
Panama,1730.18,538
Ivory Coast,1727.0,638
Iraq,1726.99,655
Tunisia,1722.1,679
Czech Republic,1721.69,361
Jordan,1702.67,482
DR Congo,1692.46,525
Saudi Arabia,1679.62,741
New Zealand,1675.14,417
South Africa,1655.03,480
Haiti,1635.49,511
Qatar,1630.13,636
Cape Verde,1628.99,236
Bosnia and Herzegovina,1619.99,284
Ghana,1614.9,672
Curaçao,1573.22,386
