rank,feature,importance
1,elo_diff,3.5968189239501953
2,form_diff,2.1701605319976807
3,home_elo,2.0756778717041016
4,away_elo,2.074803352355957
5,h2h_rate,1.921438455581665
6,h2h_matches,1.8829505443572998
7,home_form,1.837585210800171
8,away_form,1.8273210525512695
9,away_goals_avg,1.7878105640411377
10,home_goals_avg,1.7802438735961914
11,is_wc_match,1.72243070602417
12,is_wc,1.5619714260101318
13,availability_diff,0.0
14,away_injured,0.0
15,ca_diff,0.0
16,composure_diff,0.0
17,home_injured,0.0
18,is_host,0.0
19,mentality_diff,0.0
20,pace_diff,0.0
21,rank_diff,0.0
22,squad_value_ratio,0.0
