date,home_team,away_team,tournament,is_wc,home_elo,away_elo,elo_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_rate,h2h_matches,composure_diff,mentality_diff,squad_value_ratio,ca_diff,pace_diff,rank_diff,is_host,home_injured,away_injured,availability_diff,is_wc_match,result,result_encoded
1872-11-30,Scotland,England,Friendly,0,1500.0,1500.0,0.0,50.0,50.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,D,1
1873-03-08,England,Scotland,Friendly,0,1500.0,1500.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1874-03-07,Scotland,England,Friendly,0,1490.0,1510.0,-20.0,50.0,50.0,0.0,1.0,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1875-03-06,England,Scotland,Friendly,0,1499.42,1500.58,-1.1599999999998545,43.927648578811365,45.47803617571059,-1.5503875968992276,1.6666666666666667,1.3333333333333333,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,D,1
1876-03-04,Scotland,England,Friendly,0,1500.54,1499.46,1.0799999999999272,42.26190476190476,41.07142857142857,1.1904761904761898,1.5,1.75,0.25,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1877-03-03,England,Scotland,Friendly,0,1489.49,1520.21,-30.720000000000027,32.03252032520326,63.47222222222222,-31.439701897018963,1.4,2.1666666666666665,0.2,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,A,0
1878-03-02,Scotland,England,Friendly,0,1538.21,1480.37,57.840000000000146,74.23245614035088,25.972222222222225,48.26023391812865,2.25,1.3333333333333333,0.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1879-04-05,England,Scotland,Friendly,0,1482.06,1554.71,-72.65000000000009,33.1140350877193,80.83333333333333,-47.71929824561403,1.5,3.4,0.14285714285714285,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1880-03-13,Scotland,England,Friendly,0,1550.4,1494.12,56.2800000000002,82.68518518518519,42.142142142142134,40.543043043043056,3.9,1.8888888888888888,0.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1881-03-12,England,Scotland,Friendly,0,1483.27,1565.66,-82.3900000000001,35.74074074074074,89.16666666666666,-53.42592592592592,2.0,4.5,0.2222222222222222,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,A,0
1882-03-11,Scotland,England,Friendly,0,1579.96,1486.3,93.66000000000008,90.27777777777777,42.22222222222222,48.05555555555555,4.9,3.1,0.6,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,H,2
1883-03-10,England,Scotland,Friendly,0,1488.02,1593.98,-105.96000000000004,50.83333333333333,91.38888888888889,-40.55555555555556,4.2,5.4,0.18181818181818182,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,A,0
