team_a,team_b,h2h_matches,team_a_win_rate,avg_goals_a,avg_goals_b,last_5_a_wins
Argentina,Uruguay,183,0.464,1.58,1.15,4
Belgium,Netherlands,129,0.318,1.71,2.21,1
England,Scotland,118,0.415,1.76,1.51,3
Argentina,Brazil,110,0.373,1.49,1.51,4
Norway,Sweden,109,0.239,1.39,2.53,2
Argentina,Paraguay,107,0.523,2.02,1.03,2
Brazil,Paraguay,84,0.595,2.18,0.81,4
Brazil,Uruguay,79,0.468,1.78,1.27,2
Paraguay,Uruguay,79,0.329,1.22,1.47,1
Belgium,France,78,0.385,2.09,1.74,0
Mexico,United States,76,0.487,1.87,1.17,2
Japan,South Korea,73,0.192,0.9,1.51,2
Australia,New Zealand,67,0.657,2.39,1.03,5
Germany,Switzerland,55,0.673,2.67,1.33,1
Colombia,Paraguay,51,0.451,1.22,1.08,3
Colombia,Ecuador,50,0.46,1.08,0.9,1
Ecuador,Uruguay,50,0.16,0.92,2.3,2
Germany,Netherlands,48,0.375,1.88,1.65,2
Colombia,Uruguay,47,0.277,1.11,1.43,1
Iraq,Jordan,46,0.522,1.28,0.8,1
Argentina,Colombia,43,0.488,1.72,0.98,2
Austria,Switzerland,43,0.581,2.47,1.42,1
Argentina,Ecuador,42,0.571,2.36,0.88,2
Brazil,Mexico,42,0.595,1.86,0.9,4
Canada,United States,42,0.31,1.19,1.64,3
Ecuador,Paraguay,42,0.286,1.24,1.71,1
Portugal,Spain,42,0.19,1.19,1.86,0
Austria,Germany,41,0.244,1.44,2.2,2
Qatar,Saudi Arabia,41,0.195,0.8,1.32,3
France,Switzerland,39,0.41,1.79,1.62,1
Ghana,Ivory Coast,39,0.385,1.51,1.23,1
Algeria,Tunisia,38,0.395,1.03,0.82,3
Austria,Sweden,38,0.526,1.61,1.39,4
Brazil,Colombia,38,0.579,1.87,0.58,2
France,Spain,38,0.342,1.16,1.87,2
Germany,Sweden,37,0.432,1.95,1.65,3
Morocco,Tunisia,37,0.27,1.03,0.86,3
Brazil,Ecuador,36,0.75,2.72,0.67,2
Iraq,Saudi Arabia,36,0.444,1.47,0.89,2
Canada,Mexico,35,0.114,0.63,2.17,1
England,Germany,35,0.4,1.63,1.31,1
France,Germany,35,0.457,1.51,1.43,3
Iraq,Qatar,35,0.4,1.17,1.09,2
England,France,34,0.5,2.21,1.32,1
Iran,South Korea,33,0.394,1.03,1.09,1
Argentina,Mexico,32,0.5,1.66,0.88,4
Morocco,Senegal,32,0.625,1.56,0.66,4
Netherlands,Switzerland,32,0.438,2.06,1.91,2
Egypt,Tunisia,31,0.29,0.9,1.26,2
France,Netherlands,31,0.484,1.71,1.84,3
Sweden,Switzerland,31,0.355,1.55,1.55,2
Belgium,Switzerland,30,0.5,1.9,1.5,3
England,Switzerland,30,0.633,2.17,0.83,3
Australia,South Korea,29,0.31,1.0,1.03,1
Colombia,Mexico,29,0.345,1.07,1.0,4
Panama,United States,29,0.138,0.69,1.93,2
Australia,Japan,28,0.25,1.14,1.43,1
England,Spain,28,0.464,1.64,1.21,1
Ivory Coast,Senegal,28,0.5,1.29,0.82,2
Mexico,Panama,28,0.714,1.82,0.57,5
Belgium,England,27,0.148,1.22,2.81,3
Brazil,England,27,0.444,1.3,0.85,2
France,Portugal,27,0.63,1.78,1.07,1
Germany,Spain,27,0.333,1.19,1.26,0
Spain,Switzerland,27,0.704,2.15,0.89,3
Algeria,Morocco,26,0.231,0.85,1.19,1
Austria,France,26,0.346,1.58,1.65,1
Belgium,Germany,26,0.192,1.12,2.31,1
Curaçao,Haiti,26,0.192,1.04,1.92,2
Ecuador,Mexico,26,0.154,1.04,1.65,1
Iran,Iraq,26,0.615,1.35,0.69,3
Netherlands,Sweden,26,0.423,1.88,1.92,2
Portugal,Switzerland,26,0.385,1.54,1.35,4
Algeria,Senegal,25,0.6,1.48,0.76,4
Egypt,Ivory Coast,25,0.44,1.32,1.12,2
England,Sweden,25,0.36,1.6,1.28,3
Iran,Qatar,25,0.64,1.72,0.84,3
Egypt,Ghana,24,0.458,1.38,1.17,3
Iraq,South Korea,24,0.042,0.62,1.33,0
Mexico,Uruguay,24,0.333,1.21,1.46,1
Algeria,Egypt,23,0.348,1.22,1.26,1
Algeria,Ivory Coast,23,0.304,1.17,1.26,1
Argentina,Germany,23,0.435,1.48,1.43,2
Austria,Scotland,23,0.348,1.61,1.3,0
Brazil,Germany,23,0.565,1.78,1.35,2
England,Netherlands,23,0.304,1.43,1.3,2
England,Portugal,23,0.435,2.0,1.09,1
France,Sweden,23,0.522,1.48,1.0,4
Netherlands,Norway,23,0.478,2.13,1.26,4
Belgium,Spain,22,0.227,1.0,2.0,0
DR Congo,Ivory Coast,22,0.273,1.45,1.73,1
Egypt,Morocco,22,0.182,0.45,0.91,2
Germany,Turkey,22,0.636,2.45,0.86,3
Ivory Coast,Morocco,22,0.318,1.18,1.27,0
Australia,South Africa,21,0.286,1.29,2.24,1
Austria,Netherlands,21,0.333,1.29,1.9,1
Brazil,Portugal,21,0.667,1.95,0.81,2
Colombia,United States,21,0.619,1.48,0.71,4
DR Congo,Ghana,21,0.19,0.95,1.76,0
Germany,Norway,21,0.714,2.81,0.71,4
Mexico,Paraguay,21,0.476,1.76,0.9,3
Netherlands,Scotland,21,0.476,1.52,0.81,4
Portugal,Sweden,21,0.381,1.43,1.48,4
Senegal,Tunisia,21,0.238,0.62,1.05,2
Belgium,Scotland,20,0.65,2.05,1.05,5
Brazil,United States,20,0.9,2.1,0.65,4
Cape Verde,Senegal,20,0.1,0.4,1.6,0
Germany,Portugal,20,0.55,1.7,1.0,4
Ivory Coast,Tunisia,20,0.4,1.55,1.35,3
Norway,Scotland,20,0.15,1.25,1.95,1
Norway,Switzerland,20,0.4,1.3,1.0,1
Austria,England,19,0.211,1.42,3.11,1
Belgium,Portugal,19,0.316,1.21,1.11,1
Haiti,Panama,19,0.421,1.32,0.95,0
Haiti,United States,19,0.316,1.05,1.37,0
Iran,Japan,19,0.368,1.11,1.16,2
Saudi Arabia,South Korea,19,0.211,0.68,0.95,0
Austria,Turkey,18,0.5,1.39,1.39,2
Germany,Scotland,18,0.5,1.72,1.33,4
Japan,Saudi Arabia,18,0.611,1.5,0.72,3
Jordan,Qatar,18,0.278,0.89,1.56,1
Spain,Sweden,18,0.444,1.5,1.0,2
Belgium,Sweden,17,0.529,1.59,1.82,4
Brazil,France,17,0.412,1.65,1.29,2
Egypt,South Korea,17,0.235,0.65,1.06,1
France,Norway,17,0.412,1.38,1.38,1
France,Scotland,17,0.529,1.59,0.94,3
Ghana,Tunisia,17,0.529,1.53,1.06,2
Iran,Uzbekistan,17,0.588,1.18,0.41,0
Portugal,Scotland,17,0.529,1.35,0.88,4
Qatar,Uzbekistan,17,0.235,1.0,1.76,1
Scotland,Switzerland,17,0.471,1.59,1.47,1
Austria,Belgium,16,0.562,2.75,1.38,0
Austria,Spain,16,0.25,1.38,2.69,0
DR Congo,Morocco,16,0.125,0.75,1.44,1
Egypt,Senegal,16,0.5,0.81,0.62,1
Jordan,Saudi Arabia,16,0.375,0.94,1.31,3
South Korea,Uzbekistan,16,0.688,2.12,0.88,3
Switzerland,Turkey,16,0.312,1.44,1.38,2
Argentina,England,15,0.2,1.2,1.47,0
Brazil,Sweden,15,0.667,2.33,1.13,4
Ghana,South Africa,15,0.333,0.87,0.73,2
Jordan,Uzbekistan,15,0.133,1.0,1.4,1
Mexico,South Korea,15,0.533,2.0,1.07,3
Netherlands,Spain,15,0.4,1.6,1.53,2
Netherlands,Turkey,15,0.467,1.53,1.0,2
Scotland,Spain,15,0.267,1.47,1.67,1
Argentina,Spain,14,0.429,1.29,1.36,2
Austria,Norway,14,0.643,2.14,0.93,2
Brazil,Japan,14,0.786,2.64,0.57,4
Canada,Haiti,14,0.714,1.79,0.86,4
Canada,Panama,14,0.429,1.14,0.64,3
DR Congo,Egypt,14,0.143,1.14,2.0,0
DR Congo,Senegal,14,0.143,1.07,1.36,0
DR Congo,Tunisia,14,0.214,0.93,1.79,0
Ecuador,United States,14,0.357,0.86,0.71,1
Iran,Saudi Arabia,14,0.286,1.36,0.93,1
Netherlands,Portugal,14,0.143,0.71,1.14,1
Argentina,France,13,0.462,1.38,1.08,2
Egypt,South Africa,13,0.385,0.69,0.85,1
Germany,Mexico,13,0.385,2.0,1.0,3
Ghana,Senegal,13,0.308,1.23,1.15,1
Iran,Jordan,13,0.462,1.15,0.77,2
Iraq,Japan,13,0.231,0.77,1.46,1
Australia,Saudi Arabia,12,0.5,1.67,1.0,2
Brazil,Netherlands,12,0.25,1.25,1.5,1
Croatia,England,12,0.25,1.18,2.0,1
Croatia,France,12,0.167,1.0,1.83,2
Croatia,Turkey,12,0.333,1.25,0.83,1
Czech Republic,Netherlands,12,0.5,1.5,1.17,3
Czech Republic,Turkey,12,0.417,1.83,1.42,1
England,Norway,12,0.583,2.33,0.58,2
England,United States,12,0.667,3.25,0.75,3
