team,group,confederation,is_host,fifa_rank,squad_value_m,avg_ca,composure,avg_mentality,injured_count,availability_score,recent_form_pct
Mexico,A,UEFA,1,50,100.0,130.0,10.0,10.0,0,1.0,50.0
South Korea,A,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
South Africa,A,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Czechia,A,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Canada,B,UEFA,1,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Switzerland,B,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Qatar,B,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Bosnia-Herzegovina,B,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Brazil,C,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Morocco,C,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Haiti,C,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Scotland,C,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
United States,D,UEFA,1,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Paraguay,D,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Australia,D,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Turkey,D,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Germany,E,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Curacao,E,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Ivory Coast,E,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Ecuador,E,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Netherlands,F,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Japan,F,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Sweden,F,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Tunisia,F,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Belgium,G,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Egypt,G,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Iran,G,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
New Zealand,G,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Spain,H,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Cape Verde,H,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Saudi Arabia,H,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Uruguay,H,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
France,I,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Senegal,I,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Iraq,I,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Norway,I,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Argentina,J,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Algeria,J,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Austria,J,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Jordan,J,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Portugal,K,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
DR Congo,K,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Uzbekistan,K,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Colombia,K,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
England,L,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Croatia,L,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Ghana,L,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
Panama,L,UEFA,0,50,100.0,130.0,10.0,10.0,0,1.0,50.0
