team,form_score,goals_scored_avg,goals_conceded_avg,clean_sheets,win_streak,matches_used
France,85.65,2.7,1.1,4,4,10
Argentina,84.54,2.5,0.4,6,5,10
Senegal,82.87,2.5,0.6,6,2,10
Austria,82.13,2.8,0.5,5,2,10
Croatia,81.02,2.9,0.8,5,0,10
Morocco,79.07,1.8,0.5,6,1,10
Netherlands,78.7,3.0,0.6,5,0,10
Spain,78.7,3.1,0.8,7,0,10
Germany,75.83,2.3,1.1,4,7,10
DR Congo,75.65,1.2,0.3,7,2,10
Turkey,75.19,2.1,1.4,3,2,10
Algeria,74.54,2.3,0.5,6,0,10
Ivory Coast,74.07,2.0,0.7,6,2,10
Belgium,72.96,3.5,1.0,4,0,10
Norway,72.87,3.1,0.6,5,0,10
England,71.48,2.2,0.5,7,0,10
Japan,71.11,1.8,0.7,6,5,10
Portugal,68.98,2.6,1.0,4,1,10
Australia,67.5,1.5,0.9,4,2,10
Switzerland,65.28,2.5,0.8,6,0,10
Iraq,64.81,1.1,0.7,4,1,10
South Korea,59.72,1.5,1.2,6,0,10
Egypt,59.63,1.3,0.8,5,0,10
Colombia,58.33,2.1,1.0,5,0,10
Panama,56.94,1.3,0.8,3,1,10
Jordan,56.76,2.0,1.5,3,0,10
Uzbekistan,56.76,1.5,0.7,6,0,10
Brazil,56.02,1.8,0.8,5,1,10
Canada,54.54,1.1,0.4,7,0,10
Cape Verde,53.06,1.7,1.0,5,0,10
Czech Republic,52.78,1.8,1.2,5,0,10
Bosnia and Herzegovina,52.41,2.1,1.1,2,0,10
United States,52.41,1.7,1.6,1,0,10
Scotland,51.48,1.8,1.2,3,0,10
Uruguay,51.48,1.0,0.9,6,0,10
Iran,49.54,1.6,0.7,6,1,10
Mexico,49.07,1.1,1.0,5,0,10
Tunisia,47.78,1.4,1.0,3,0,10
South Africa,47.5,1.5,1.1,2,0,10
Ecuador,47.04,0.7,0.4,6,0,10
Sweden,46.67,1.6,1.8,1,2,10
Paraguay,46.11,1.0,1.0,4,0,10
Haiti,44.54,1.2,1.1,4,0,10
Curaçao,42.31,1.6,1.3,4,0,10
Saudi Arabia,40.28,0.9,1.3,2,0,10
Ghana,40.09,1.5,1.3,4,0,10
New Zealand,23.43,0.9,1.5,1,1,10
Qatar,23.06,0.9,1.9,1,0,10
