team,trophy_probability,final_prob,sf_prob,qf_prob
Spain,14.79,23.04,35.41,52.39
Argentina,10.6,18.32,29.92,46.76
Brazil,8.57,15.11,24.92,40.12
France,8.12,14.27,24.05,38.39
England,6.44,12.07,21.95,37.37
Portugal,6.16,11.49,20.63,35.51
Belgium,5.84,11.18,20.43,35.65
Netherlands,5.24,10.35,19.31,34.09
Colombia,5.19,10.33,18.8,32.69
Germany,4.45,9.48,18.64,33.79
Croatia,3.26,6.82,13.86,26.8
Norway,2.33,5.28,11.2,22.49
Uruguay,2.19,4.98,10.81,22.72
Switzerland,2.12,4.98,11.3,24.38
Japan,1.74,4.28,9.52,20.76
Ecuador,1.6,4.21,9.74,21.94
Morocco,1.49,3.91,9.74,22.5
Mexico,1.02,2.71,6.51,15.55
Austria,0.96,2.47,6.5,15.94
United States,0.9,2.47,6.64,15.71
Australia,0.77,2.31,5.84,14.36
Paraguay,0.61,1.91,4.86,12.66
Sweden,0.61,1.54,4.07,9.52
Turkey,0.58,1.53,4.48,11.72
Scotland,0.57,1.66,4.8,12.15
Senegal,0.55,1.8,5.56,14.83
South Korea,0.52,1.79,5.32,14.23
Iran,0.52,1.72,4.84,12.7
Canada,0.41,1.21,4.21,13.0
Czech Republic,0.36,1.07,3.63,10.79
Uzbekistan,0.31,1.0,3.06,8.28
Algeria,0.2,0.63,2.14,6.55
Tunisia,0.19,0.61,2.0,6.09
Panama,0.12,0.51,2.09,6.56
DR Congo,0.1,0.42,1.49,5.08
Bosnia and Herzegovina,0.1,0.3,1.31,4.81
Jordan,0.08,0.27,1.14,3.92
Egypt,0.07,0.34,1.55,5.39
South Africa,0.07,0.24,1.1,4.16
New Zealand,0.05,0.37,1.49,5.95
Ivory Coast,0.05,0.27,1.49,5.22
Qatar,0.04,0.11,0.59,2.59
Ghana,0.03,0.14,0.47,2.3
Cape Verde,0.02,0.13,0.64,2.86
Curaçao,0.02,0.11,0.38,1.69
Saudi Arabia,0.02,0.09,0.62,2.84
Iraq,0.01,0.13,0.7,3.1
Haiti,0.01,0.04,0.25,1.1
