team,trophy_probability,final_prob,sf_prob,qf_prob
Spain,12.48,20.54,32.6,50.52
Portugal,11.57,19.03,29.42,44.38
Argentina,10.32,18.23,30.02,46.88
France,8.95,16.16,26.81,41.43
England,7.51,13.49,24.06,40.17
Netherlands,6.54,12.5,22.63,37.9
Brazil,6.47,12.02,21.03,36.08
Germany,6.05,11.86,21.88,36.99
Croatia,4.22,8.32,17.1,31.98
Belgium,3.86,8.17,16.26,30.28
Colombia,3.02,6.61,13.4,25.22
Switzerland,2.69,5.44,11.45,24.03
Japan,2.39,5.24,10.95,22.84
Morocco,2.23,5.28,11.87,26.26
Norway,1.23,3.51,8.25,18.74
Uruguay,0.84,2.29,6.13,15.31
United States,0.79,2.09,5.64,14.04
South Korea,0.76,2.09,6.53,16.29
Austria,0.73,1.87,5.15,12.59
Senegal,0.71,2.25,6.61,16.16
Turkey,0.68,1.99,5.42,13.14
Mexico,0.66,2.39,5.64,14.09
Australia,0.65,1.99,5.23,13.31
Ecuador,0.62,1.73,4.42,11.78
Iran,0.5,1.88,5.61,13.6
Sweden,0.45,1.33,3.81,10.38
Paraguay,0.43,1.48,4.79,12.79
Uzbekistan,0.33,1.23,3.77,11.14
Scotland,0.32,1.27,3.37,9.29
Canada,0.32,0.91,3.42,11.14
Czech Republic,0.31,1.06,4.01,11.57
Algeria,0.29,1.03,3.46,9.19
Ivory Coast,0.21,0.94,3.37,11.03
Egypt,0.17,0.58,2.13,6.74
New Zealand,0.16,0.49,1.94,6.86
Panama,0.1,0.46,2.03,6.62
Tunisia,0.09,0.48,1.58,5.1
Jordan,0.07,0.35,1.6,5.72
South Africa,0.05,0.25,0.89,3.84
Saudi Arabia,0.05,0.22,0.79,3.75
DR Congo,0.04,0.2,0.91,3.56
Qatar,0.03,0.19,1.18,4.75
Iraq,0.03,0.18,0.92,3.59
Cape Verde,0.03,0.1,0.64,2.98
Bosnia and Herzegovina,0.02,0.13,0.49,2.13
Haiti,0.01,0.08,0.38,1.65
Curaçao,0.01,0.04,0.15,1.06
Ghana,0.01,0.03,0.26,1.11
